Titles,Ratings,Urls,Genres,Casts
Trolls Band Together,71.90%,movie/901362,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']","['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André', 'Amy Schumer', 'Andrew Rannells', 'Daveed Diggs', 'Troye Sivan', 'Kid Cudi']"
Leo,75.17%,movie/1075794,"['Animation', 'Comedy', 'Family']","['Adam Sandler', 'Bill Burr', 'Cecily Strong', 'Jason Alexander', 'Rob Schneider', 'Allison Strong', 'Jo Koy', 'Sadie Sandler', 'Sunny Sandler']"
Freelance,64.29%,movie/897087,"['Action', 'Comedy']","['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve', 'Marton Csokas', 'Christian Slater', 'Julianne Arrieta', 'Molly McCann', 'Daniel Toro']"
Oppenheimer,81.00%,movie/872585,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']"
Reign of Chaos,55.31%,movie/951546,"['Action', 'Horror', 'Fantasy']","['Rebecca Finch', 'Ray Whelan', 'Kate Milner Evans', 'Mark Sears', 'Peter Cosgrove', 'Carmina Cordelia', 'Mike Kelson', 'Kate Lush', 'Georgia Woodthorpe']"
The Bad Guys: A Very Bad Holiday,57.14%,movie/1046032,"['Animation', 'Comedy', 'Family']","['Michael Godere', 'Ezekiel Ajeigbe', 'Raul Ceballos', 'Chris Diamantopoulos', 'Mallory Low', 'Zehra Fazal', 'Keith Silverstein', 'Kari Wahlgren']"
Five Nights at Freddy's,78.40%,movie/507089,"['Horror', 'Mystery']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin']"
The Creator,71.30%,movie/670292,"['Science Fiction', 'Action', 'Thriller']","['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney', 'Ken Watanabe', 'Sturgill Simpson', 'Amar Chadha-Patel', 'Marc Menchaca', 'Robbie Tann']"
Come Out Fighting,47.00%,movie/1047925,"['War', 'Drama', 'Action']","['Dolph Lundgren', 'Tyrese Gibson', 'Michael Jai White', 'Kellan Lutz', 'Vicellous Shannon', 'Hiram A. Murray', 'Justen Jones', 'Gary David Keast', 'Aaron Courteau']"
Fast X,71.97%,movie/385687,"['Action', 'Crime', 'Thriller']","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa']"
